Type,Title,Organization,Status,Availability or Year,Geography,Community,Community Type,Best For,Project Stage,Topics,Summary,Why It May Help,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Community Example,Conserving Groundwater in the Ogallala Aquifer with Water Rights Lease Agreements,U.S. Climate Resilience Toolkit,Published case study,2024,New Mexico,Clovis,town_or_city,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Water Quality; Agriculture and Food Supply; Aquatic and Marine Resources; Multiple or All Assets; People; Water Infrastructure - General,"Clovis, New Mexico is entirely dependent on the Ogallala Aquifer to meet the water demand for municipal use and irrigation farming. In response, the Ogallala Land & Water Conservancy (OLWC) and Cannon Air Force Base (CAFB) are entering three-year water rights lease agreements with landowners to conserve the aquifer's remaining groundwater for critical municipal and CAFB use.",,,,https://toolkit.climate.gov/case-study/conserving-groundwater-ogallala-aquifer-water-rights-lease-agreements,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-CONSERVING-GROUNDWATER-IN-THE-OGALLALA-AQUIFER-WITH-WATER-RIGHTS-LEASE-AGREEMENTS-NM-202
Community Example,"Farmington, New Mexico Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2018,New Mexico,Farmington,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Healthy Food Access; Entrepreneurship,"In 2018, Farmington, New Mexico used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2018-05/documents/2018_summary_report_05-21-18-508.pdf,2026-07-18,RERC-CASE-LFLP-FARMINGTON-NM-2018-EPA-SUMMARY-REPORT
Community Example,"Grants, New Mexico (2019)",Recreation Economy for Rural Communities,Planning assistance example,2019,New Mexico,Grants,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; trails and active transportation,"In 2019, Grants, New Mexico received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, trails and active transportation. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-GRANTS-NM-2019
Community Example,"Drought Response and Recovery Project for Water Utilities in Las Vegas, NM",U.S. Climate Resilience Toolkit,Published case study,2022,New Mexico,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Water Infrastructure - General,"Environmental Protection Agency's storymap contains case studies and videos that describe the experiences of small and medium-sized drinking water utilities that successfully responded to drought. Explore the story of Las Vegas, New Mexico.",,,,https://toolkit.climate.gov/case-study/drought-response-and-recovery-project-water-utilities-las-vegas-nm,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-DROUGHT-RESPONSE-AND-RECOVERY-PROJECT-FOR-WATER-UTILITIES-IN-LAS-VEGAS-NM-NM-2022
Community Example,Freeze Drying Crops for Increased Climate Change Resilience in New Mexico,U.S. Climate Resilience Toolkit,Published case study,2024,New Mexico,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Changing Seasons; Drought; Flooding - General; Multiple or All Hazards; Agriculture and Food Supply; Economy; Multiple or All Assets,"As a result of climate change , average temperatures in New Mexico may increase by up to 7°F over the next 50 years, decreasing water availability and subjecting crops to heat and drought stress. In response, Backyard Farms, a farm with multiple sites throughout southern New Mexico, freeze dries the crops of farmers throughout the state to decrease the food lost to extreme weather.",,,,https://toolkit.climate.gov/case-study/freeze-drying-crops-increased-climate-change-resilience-new-mexico,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-FREEZE-DRYING-CROPS-FOR-INCREASED-CLIMATE-CHANGE-RESILIENCE-IN-NEW-MEXICO-NM-2024
Community Example,Restoring Rangelands in Northern New Mexico with Keyline Design,U.S. Climate Resilience Toolkit,Published case study,2024,New Mexico,Multiple communities,statewide_or_multi_community,Communities looking for comparable examples,Implementation,Climate Resilience; Drought; Extreme Heat; Agriculture and Food Supply,"Many factors, including drought, heavy livestock grazing, and mono-crop agriculture, have decreased the infiltration rate of the coarse-loamy soils prevalent in Northern New Mexico. Keyline design uses the natural ridges and contours of a property's topography to slow, spread, and sink rainwater.",,,,https://toolkit.climate.gov/case-study/restoring-rangelands-northern-new-mexico-keyline-design,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-RESTORING-RANGELANDS-IN-NORTHERN-NEW-MEXICO-WITH-KEYLINE-DESIGN-NM-2024
Community Example,The New Earth Project Pilot: Climate Change Mitigation Through Food Waste Reduction,U.S. Climate Resilience Toolkit,Published case study,2024,New Mexico,Santa Clara,town_or_city,Communities looking for comparable examples,Implementation,Climate Resilience; Agriculture and Food Supply; Cultural and Community Services,"Recognizing the climate change mitigation potential that Johnson-Su bioreactors hold, the Upper Gila Watershed Alliance (UGWA) founded the New Earth Project, currently based in Santa Clara, New Mexico. The New Earth Project is a climate solutions program that addresses interconnected environmental issues including carbon draw-down, food system resilience, food waste reduction, and soil improvement.",,,,https://toolkit.climate.gov/case-study/new-earth-project-pilot-climate-change-mitigation-through-food-waste-reduction,2026-07-18,RERC-CASE-US-CLIMATE-RESILIENCE-TOOLKIT-THE-NEW-EARTH-PROJECT-PILOT-CLIMATE-CHANGE-MITIGATION-THROUGH-FOOD-WASTE-REDUCTION-NM-20
Community Example,"Silver City, NM: The Silver Lining in an Abandoned Hospital",EPA Brownfields Success Stories,Published case study,2020,New Mexico,Silver City,town_or_city,Communities looking for comparable examples,Cleanup,"Brownfields; Land Revitalization; Hospital; Brownfields Assessment Grant,","Affordable Senior Housing “The site is located in a very prominent part of town, on the main drag right as you enter city limits,” says Alex Brown, Silver City’s town manager and finance director. After approximately one year of negotiation with the site’s owner, he used city funds to purchase the property.",,,,https://www.epa.gov/brownfields/silver-city-nm-silver-lining-abandoned-hospital,2026-07-18,RERC-CASE-BROWNFIELDS-SUCCESS-STORIES-SILVER-CITY-NM-THE-SILVER-LINING-IN-AN-ABANDONED-HOSPITAL-NM-2020
Community Example,"Silver City, New Mexico Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2018,New Mexico,Silver City,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Economic Development,"In 2018, Silver City, New Mexico used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2018-05/documents/2018_summary_report_05-21-18-508.pdf,2026-07-18,RERC-CASE-LFLP-SILVER-CITY-NM-2018-EPA-SUMMARY-REPORT
Community Example,"Akwesasne, New York (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,New York,Akwesasne,tribal_community,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; riverfront and water access; tourism and destination management,"In 2022, Akwesasne, New York received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, riverfront and water access. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-AKWESASNE-NY-2022
Community Example,New Police Station Strengthens Safety and Community Partnerships,USDA Rural Development Success Stories,Published case study,2024,New York,Batavia,town_or_city,Communities looking for comparable examples,Implementation,Community Facilities; First Responders; public safety; local government facilities,"Batavia, New York opened a new police station after years of operating from an aging facility that no longer fit modern safety, accessibility, and operational needs. USDA Rural Development's Community Facilities program helped make the project feasible, with the source page documenting a 2024 obligation of more than $10 million and describing $12.5 million in critical support.",,,,https://www.rd.usda.gov/newsroom/success-stories/new-police-station-strengthens-safety-and-community-partnerships,2026-07-18,RERC-CASE-USDA-RD-SUCCESS-STORIES-NEW-POLICE-STATION-STRENGTHENS-SAFETY-AND-COMMUNITY-PARTNERSHIPS-NY-2026
Community Example,"Cambridge, New York (2019)",Recreation Economy for Rural Communities,Planning assistance example,2019,New York,Cambridge,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; small business development,"In 2019, Cambridge, New York received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, small business development. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-CAMBRIDGE-NY-2019
Community Example,"Canton, New York Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2015,New York,Canton,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance,"In 2015, Canton, New York used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2016-01/documents/lflp_summary_report_jun2015.pdf,2026-07-18,RERC-CASE-LFLP-CANTON-NY-2015-EPA-SUMMARY-REPORT
Community Example,"Cortland, New York Local Foods, Local Places Summary Report","Local Foods, Local Places",Planning assistance example,2018,New York,Cortland,town_or_city,Communities looking for comparable examples,Planning,Local Food Systems; Downtown Revitalization; Technical Assistance; Brownfields Reuse,"In 2018, Cortland, New York used Local Foods, Local Places planning assistance to work on local food systems, downtown revitalization, technical assistance. The official summary report records the community's goals and action steps.",,,,https://www.epa.gov/sites/default/files/2018-05/documents/2018_summary_report_05-21-18-508.pdf,2026-07-18,RERC-CASE-LFLP-CORTLAND-NY-2018-EPA-SUMMARY-REPORT
Community Example,"Fulton, New York (2025)",Recreation Economy for Rural Communities,Planning assistance example,2025,New York,Fulton,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; riverfront and water access; brownfields and land reuse,"In 2025, Fulton, New York received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, riverfront and water access. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-FULTON-NY-2025
Community Example,"Granville, New York (2022)",Recreation Economy for Rural Communities,Planning assistance example,2022,New York,Granville,town_or_city,Communities looking for comparable examples,Planning,outdoor recreation economy; main street revitalization; trails and active transportation; biking and walking connectivity; riverfront and water access; public health,"In 2022, Granville, New York received EPA planning assistance to connect outdoor recreation with outdoor recreation economy, main street revitalization, trails and active transportation. The official RERC page identifies the partner community and its planning focus.",,,,https://www.epa.gov/smartgrowth/recreation-economy-rural-communities,2026-07-18,RERC-CASE-RERC-PARTNER-GRANVILLE-NY-2022
